Piano;Codice Programma;Programma;Codice Investimento;Investimento;Codice Intervento;Intervento;Amministrazione Titolare;CUP;Stato CUP;Codice Natura Investimento;Natura Investimento;Codice Tipologia Investimento;Tipologia Investimento;Codice Settore Intervento Investimento;Settore Intervento Investimento;Codice Sottosettore Intervento Investimento;Sottosettore Intervento Investimento;Codice Categoria Intervento Investimento;Categoria Intervento Investimento;Titolo Unità di Rilevazione;Soggetto Attuatore;Codice Fiscale Soggetto Attuatore;Finanziamento PNC;Data di estrazione
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E19D22000310001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO ACCELERATE HA COME OBIETTIVO LA RIQUALIFICAZIONE, LA RIFUNZIONALIZZAZIONE E LA VALORIZZAZIONE DELLE STRUTTURE E DEL SITO CHE OSPITAVA LA SCUOLA SUPERIORE GUGLIELMO REISS ROMOLI (SSGRR)*SITO CHE OSPITAVA LA SCUOLA SUPERIORE GUGLIELMO REISS ROMO;UNIVERSITA DEGLI STUDI DELL AQUILA;01021630668;17449125,40;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E19D22000320001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;LECOSISTEMA SEIC SI CONFIGURA COME UNINFRASTRUTTURA DEDICATA AD OSPITARE ATTIVITÀ DI RICERCA APPLICATA, SVILUPPO TECNOLOGICO E INNOVATIVO, FORMAZIONE DI CAPITALE UMANO QUALIFICATO E SPECIALIZZATO NEL SETTORE AEROSPAZIALE*EX-OSPEDALE PSICHIATRICO DI COLL;GRAN SASSO SCIENCE INSTITUTE;01984560662;19000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E27B22000160001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO GREEN  PHARMA. R.D.I PUNTA ALLIMPLEMENTAZIONE DI UNA INFRASTRUTTURA PER RICERCA, SVILUPPO, E INNOVAZIONE CARATTERIZZATA DA UNA PIATTAFORMA TELEMATICA COMPOSTA DA 1 DATA CENTER E 1 INCUBATORE PER LA RICERCA*VIA DI PIANO SAN GIOVANNI 47-53*LA P;POLITECNICO DI BARI;93051590722;20000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E27G22000150001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;08;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;0861__;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;0861__620_;ALTRE RICERCHE;SOGGETTO PROPONENTE: CONSIGLIO NAZIONALE DELLE RICERCHE-IL PROGETTO PROPONE DI CREARE IL ONE HEALTH DIGITAL ECOSYSTEM - INFRASTRUTTURA DI RICERCA, SVILUPPO ED INNOVAZIONE MONO-SITO*VIA ATINENSE, 18*LOBIETTIVO SPECIFICO DI 1HD È LO STUDIO DELLINTERCONN;AGENZIA PER LA COESIONE TERRITORIALE;97828370581;24500000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E29D22000220001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO PROPONE LA REALIZZAZIONE DI UN LUOGO FISICO DI CONTAMINAZIONE, COLLABORAZIONE E OPEN INNOVATION IN CUI IL MONDO DELLA RICERCA E QUELLO DELLIMPRESA FORMANO UN ECOSISTEMA ABILITANTE PER IDEARE E SVILUPPARE SOLUZIONI INNOVATIVE E SOSTENIBILI.*CO;AGENZIA PER LA COESIONE TERRITORIALE;97828370581;10500000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E29D22000230001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO GREEN DIGITAL HUB BASILICATA (GDHB) PREVEDE LA RIQUALIFICAZIONE ED INFRASTRUTTURAZIONE DEL SITO PER IL POTENZIAMENTO DELL'ECOSISTEMA DELLINNOVAZIONE PER LAMBIENTE E LA TRANSIZIONE DIGITALE NELL'AREA INDUSTRIALE DI TITO (PZ)*ZONA INDUSTRIALE,;CONSIGLIO NAZIONALE DELLE RICERCHE - CNR;80054330586;20000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E29F22043930001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0613__;OPERE,  IMPIANTI ED ATTREZZATURE PER L'AGRICOLTURA, LA ZOOTECNIA E L'AGROALIMENTARE;0613__999_;ALTRE OPERE E STRUTTURE PER L'AGRICOLTURA;IL PROGETTO OENO VATION È FINALIZZATO ALLO SVOLGIMENTO DI ATTIVITÀ AD ALTA INTENSITÀ DI CONOSCENZA NELL'AMBITO DELLA FILIERA VITIVINICOLA IN AMBIENTE MEDITERRANEO ATTRAVERSO UNO SPECIFICO INTERVENTO DI RIQUALIFICAZIONE EDILIZIO*VIA STAZIONE 44*L'INTERVENT;COMUNE DI CAMPI SALENTINA;80008850754;12000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E39D22000310001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO S.IN.AP.SI. FACTORY  PREVEDE LA RIQUALIFICAZIONE DI UN IMMOBILE ESISTENTE E LA CREAZIONE DI NUOVE INFRASTRUTTURE,PER CREARE UN POLO TECNOLOGICO DI SVILUPPO,RICERCA E MONITORAGGIO AMBIENTALE, SITUATO NEL COMUNE DI GELA ZONA PIANA DEL SIGNORE*ZO;"LIBERA UNIVERSITA'' DELLA SICILIA CENTRALE "" KORE """;01094410865;10000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E39D22000340001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO SALPI SI PROPONE DI INTERVENIRE NELL'AREA DELLE SALINE DI MARGERITA DI SAVOIA PUNTANDO AL RECUPERO E ALLA RIFUNZIONALIZZAZIONE DEI CAPANNONI IN PROSSIMITÀ DEL CAPANNONE NERVI PER OSPITARE STRUTTURE DI RICERCA.*SALINE MARGHERITA DI SAVOIA*LE IN;ISTITUTO TUMORI GIOVANNI PAOLO II;00727270720;18950575,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E49D22000560001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO PREVEDE LA REALIZZAZIONE DEL VISION LIVING LAB PRESO L AGGLOMERATO A.S.I. DI CAIVANO  PASCAROLA, ATTREZZATO PER SVILUPPARE, SPERIMENTARE E VALIDARE SOLUZIONI AD ALTO CONTENUTO TECNOLOGICO PER IL SUPPORTO A PAZIENTI CON DEFICIT SENSORIALI*A;AGENZIA PER LA COESIONE TERRITORIALE;97828370581;5933564,31;07/03/2024
