Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Sub-Misura;Codice CID;Codice Univoco Submisura;Descrizione Sub-Misura;Tipo Livello;Investimento o Riforma;Prestito o Sovvenzione;Amministrazione Titolare;Importo Totale;Importo Progetti in essere;Importo Progetti nuovi
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.1;M1C1I1.01;Infrastrutture digitali;M1C1I1.1;M1C1I1.1;M1C1I1.01.00;Infrastrutture digitali;Misura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;900000000,00;0,00;900000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.10;M1C1I1.10;Sostegno alla qualificazione e eProcurement;M1C1I1.10;M1C1I1.10;M1C1I1.10.00;Sostegno alla qualificazione e eProcurement;Misura;Investimento;Sovvenzione;MINISTERO INFRASTRUTTURE E TRASPORTI;8978483,60;0,00;8978483,60
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.2;M1C1I1.02;Abilitazione al cloud per le PA locali;M1C1I1.2;M1C1I1.2;M1C1I1.02.00;Abilitazione al cloud per le PA locali;Misura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;1000000000,00;0,00;1000000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;M1C1I1.3.1;M1C1I1.3.1;M1C1I1.03.01;Piattaforma Digitale Nazionale Dati;Submisura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;556000000,00;0,00;556000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;M1C1I1.3.2;M1C1I1.3.2;M1C1I1.03.02;Sportello digitale unico;Submisura;Investimento;Sovvenzione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;90000000,00;0,00;90000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.1;M1C1I1.4.1;M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;813000000,00;0,00;813000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.2;M1C1I1.4.2;M1C1I1.04.02;Inclusione dei cittadini -  Miglioramento dell'accessibilità dei servizi pubblici digitali;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80000000,00;0,00;80000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.3;M1C1I1.4.3;M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;561000000,00;0,00;561000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.4;M1C1I1.4.4;M1C1I1.04.04;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR);Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;285000000,00;0,00;285000000,00
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.4;M1C1I1.04;Servizi digitali e esperienza dei cittadini;M1C1I1.4.5;M1C1I1.4.5;M1C1I1.04.05;Digitalizzazione degli avvisi pubblici;Submisura;Investimento;Prestito;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;245000000,00;0,00;245000000,00
