Codice Univoco Submisura;Descrizione Submisura;Amministrazione Titolare;Importo Totale;Spesa dichiarata PNRR;Data di Estrazione
M4C1R1.07.00;Riforma della legislazione sugli alloggi per studenti e investimenti negli alloggi per studenti;MIN DELL'UNIVERSITA' E DELLA RICERCA;1.198.000.000,00; 68.344.112,00 € ;31/10/2024
M4C2I1.02.00;Finanziamento di progetti presentati da giovani ricercatori;MIN DELL'UNIVERSITA' E DELLA RICERCA;210.000.000,00; 15.083.266,59 € ;31/10/2024
M4C2I1.03.00;Partenariati estesi a università, centri di ricerca, imprese e finanziamento progetti di ricerca di base;MIN DELL'UNIVERSITA' E DELLA RICERCA;1.610.000.000,00; 380.626.199,05 € ;31/10/2024
M4C2I1.04.00;"Potenziamento strutture di ricerca e creazione di ""campioni nazionali di R&S"" su alcune Key Enabling Technologies";MIN DELL'UNIVERSITA' E DELLA RICERCA;1.600.000.000,00; 363.892.719,21 € ;31/10/2024
M4C2I1.05.00;"Creazione e rafforzamento di ""ecosistemi dell'innovazione"", costruzione di ""leader territoriali di R&S""";MIN DELL'UNIVERSITA' E DELLA RICERCA;1.242.800.752,17; 370.178.396,27 € ;31/10/2024
M5C1I2.01.00;Servizio civile universale;PCM - DIP POL GIOVAN E SERV CIV UNIVERS;650.000.000,00; 437.996.458,41 € ;31/10/2024
M1C1I1.01.00;Infrastrutture digitali;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;900.000.000,00; 3.806.811,98 € ;31/10/2024
M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;813.000.000,00; 97.497.753,10 € ;31/10/2024
M1C1I1.05.00;Cybersecurity;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;623.000.000,00; 107.705.225,24 € ;31/10/2024
M1C1I1.06.02;Digitalizzazione del Ministero della Giustizia;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;133.203.200,00; 20.967.099,43 € ;31/10/2024
M1C1I1.06.03;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;296.000.000,00; 184.158.191,32 € ;31/10/2024
M1C1I1.06.06;Digitalizzazione della Guardia di Finanza;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;25.000.000,00; 7.572.162,72 € ;31/10/2024
M1C2I3.01.01;Piano Italia a 1 Gbps;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;3.519.437.571,00; 1.045.435.434,75 € ;31/10/2024
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;1.115.760.477,00; 327.366.321,08 € ;31/10/2024
M1C2I3.01.03;Scuola Connessa;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;261.000.000,00; 23.023.945,20 € ;31/10/2024
M1C2I3.01.04;Sanità Connessa;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;335.164.346,25; 20.161.294,26 € ;31/10/2024
M1C2I3.01.05;Collegamento isole minori;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;60.500.000,00; 18.395.336,70 € ;31/10/2024
